Entity,Code,Day,5-9,10-14,15-17,18-24,25-49,50-59,60-69,70-79,80+
France,FRA,5/6/2022,,,,63.23,65.58,78.78,82.41,86.2,76.13
Spain,ESP,4/29/2022,0,0.23,1.22,28.57,45.1,72.77,88.75,93.07,91.09
Poland,POL,4/29/2022,0,3.56,11.37,17.81,26.07,41.97,54.71,68.66,50.78
Belgium,BEL,5/6/2022,,,,59.38,65.95,81.89,87.27,89.67,84.11
Czechia,CZE,5/6/2022,0,3.36,12.57,23.07,32.75,52.29,65.02,77.49,74.12
Portugal,PRT,4/29/2022,0.04,0.2,0.67,44.59,59.16,81.74,92.68,98.55,95.3
Sweden,SWE,4/29/2022,,,2.54,35.53,48.26,74.14,84.33,91.97,95.31
Austria,AUT,5/13/2022,0.1,11.52,36.69,55.05,59.85,71.94,80.36,82,87.89
Denmark,DNK,5/6/2022,0,0.1,1.6,59.93,62.75,87.17,93.53,96.77,99.61
Slovakia,SVK,4/29/2022,0,0.64,2.83,19.81,25.84,37.19,56.95,67.61,54.18
Ireland,IRL,4/29/2022,0.03,5.4,36.81,48.74,64.21,88.48,96.3,104.9,103.08
Croatia,HRV,5/13/2022,0,0.06,0.72,5.68,13.83,27.38,43.43,54.49,41.58
Lithuania,LTU,4/22/2022,0,0.22,1.37,26.9,31.09,37.21,49.33,57.58,46.13
Latvia,LVA,4/22/2022,0.01,0.95,2.28,25.32,29.76,34.12,40.6,44.49,36.72
Iceland,ISL,4/29/2022,0,0.12,35.88,78.41,81.33,89.99,91.51,96.29,93.06